"fold","test_year","target_date","p_min","p_max","actual_price","inside_range","prob_calm","prob_stress"
1,2013,2013-01-02,1.30649661496379,1.33072192433358,1.3195,TRUE,0.98138615557105,0.0186138444289498
1,2013,2013-01-03,1.30754108644606,1.33155202072079,1.311,TRUE,0.983274718213465,0.0167252817865353
1,2013,2013-01-04,1.29881909211764,1.32327903082136,1.3047,TRUE,0.968871989139975,0.0311280108600256
1,2013,2013-01-07,1.29242986226764,1.31707092802279,1.3099,TRUE,0.962403090454492,0.0375969095455083
1,2013,2013-01-08,1.29758230855459,1.32231927719205,1.3068,TRUE,0.961768193919141,0.0382318060808592
1,2013,2013-01-09,1.29466245041664,1.3190366372192,1.3078,TRUE,0.96864433319847,0.03135566680153
1,2013,2013-01-10,1.29580445055939,1.3198165821416,1.322,FALSE,0.976020440770039,0.0239795592299609
1,2013,2013-01-11,1.30858902625651,1.33553300715257,1.3353,TRUE,0.908356994736866,0.0916430052631337
1,2013,2013-01-14,1.32022950627956,1.35052600633093,1.3369,TRUE,0.776414316214943,0.223585683785057
1,2013,2013-01-15,1.3224229438838,1.35151967995814,1.3342,TRUE,0.843181335060879,0.156818664939121
1,2013,2013-01-16,1.32021041696548,1.3483226324461,1.3305,TRUE,0.88591688758811,0.11408311241189
1,2013,2013-01-17,1.31685440907643,1.34427242039535,1.3356,TRUE,0.910683617988031,0.0893163820119688
1,2013,2013-01-18,1.32197972990793,1.34934641915598,1.3303,TRUE,0.919371717729187,0.0806282822708134
1,2013,2013-01-22,1.31681110685018,1.3438360541331,1.3304,TRUE,0.925112753446706,0.0748872465532944
1,2013,2013-01-23,1.31729138104903,1.34362607888643,1.3308,TRUE,0.949100576284536,0.0508994237154643
1,2013,2013-01-24,1.31799299769054,1.34371914197498,1.3378,TRUE,0.963914120991578,0.0360858790084219
1,2013,2013-01-25,1.32477395966943,1.35094198095793,1.3456,TRUE,0.954869130805207,0.0451308691947936
1,2013,2013-01-28,1.33226850398352,1.35905281981609,1.3459,TRUE,0.939659299043558,0.0603407009564421
