Date,sigma_t,log_sigma_t,state,regime_label
2010-01-05,0.604753777356531,-0.5029338833659416,2,high volatility (stress/panic)
2010-01-06,0.5938113502756857,-0.521193602191028,2,high volatility (stress/panic)
2010-01-07,0.5827102797429738,-0.5400651634184878,2,high volatility (stress/panic)
2010-01-08,0.5842933161777811,-0.5373521685120202,2,high volatility (stress/panic)
2010-01-11,0.5764146183781956,-0.5509280536617204,2,high volatility (stress/panic)
2010-01-12,0.6147289817050848,-0.486573788457988,2,high volatility (stress/panic)
2010-01-13,0.6034023149836557,-0.5051711156989812,2,high volatility (stress/panic)
2010-01-14,0.5934541191323245,-0.5217953735106632,2,high volatility (stress/panic)
2010-01-15,0.5826129300499386,-0.5402322410025324,2,high volatility (stress/panic)
2010-01-19,0.587583482769261,-0.5317369447281776,2,high volatility (stress/panic)
2010-01-20,0.5941421044503727,-0.520636755149727,2,high volatility (stress/panic)
2010-01-21,0.6295229367962302,-0.462792989630584,2,high volatility (stress/panic)
2010-01-22,0.6179257072998877,-0.48138704347591627,2,high volatility (stress/panic)
2010-01-25,0.6099843100339922,-0.49432204340132774,2,high volatility (stress/panic)
2010-01-26,0.5986185591400919,-0.5131306798007724,2,high volatility (stress/panic)
2010-01-27,0.5981103842836955,-0.513979952962808,2,high volatility (stress/panic)
2010-01-28,0.5870443705208208,-0.532654873389216,2,high volatility (stress/panic)
2010-01-29,0.5818212315393589,-0.5415920407382089,2,high volatility (stress/panic)
2010-02-01,0.595604222672109,-0.5181788884188577,2,high volatility (stress/panic)
2010-02-02,0.5864586964872859,-0.5336530370900663,2,high volatility (stress/panic)
2010-02-03,0.5799709760329887,-0.5447772180162139,2,high volatility (stress/panic)
2010-02-04,0.5728989638309316,-0.5570459062078656,2,high volatility (stress/panic)
2010-02-05,0.5986753704794673,-0.5130357802309798,2,high volatility (stress/panic)
2010-02-08,0.6246213260477688,-0.4706096911877477,2,high volatility (stress/panic)
2010-02-09,0.6265046120052615,-0.46759914313238937,2,high volatility (stress/panic)
2010-02-10,0.6296113695211977,-0.4626525237173463,2,high volatility (stress/panic)
2010-02-11,0.6260387351004202,-0.46834303263913013,2,high volatility (stress/panic)
2010-02-12,0.624890952046446,-0.4701781211942566,2,high volatility (stress/panic)
2010-02-16,0.6134699577793873,-0.48862398460492656,2,high volatility (stress/panic)
2010-02-17,0.6245345878543745,-0.47074856607529103,2,high volatility (stress/panic)
2010-02-18,0.6351450548206377,-0.4539018733878364,2,high volatility (stress/panic)
2010-02-19,0.628847825094775,-0.4638659830386839,2,high volatility (stress/panic)
2010-02-22,0.6179811530287469,-0.48129731870671866,2,high volatility (stress/panic)
2010-02-23,0.6110201900048261,-0.4926252761587378,2,high volatility (stress/panic)
2010-02-24,0.6041546400395872,-0.5039250872609197,2,high volatility (stress/panic)
2010-02-25,0.5955370170148439,-0.518291730884717,2,high volatility (stress/panic)
2010-02-26,0.6013491457192788,-0.5085795718313616,2,high volatility (stress/panic)
2010-03-01,0.6461603259162763,-0.43670762345879005,2,high volatility (stress/panic)
2010-03-02,0.6659146355263985,-0.40659379154213804,2,high volatility (stress/panic)
2010-03-03,0.6570260174167597,-0.4200316609516755,2,high volatility (stress/panic)
2010-03-04,0.687042636633297,-0.3753589266283566,2,high volatility (stress/panic)
2010-03-05,0.7107363227455533,-0.34145377204729505,2,high volatility (stress/panic)
2010-03-08,0.6993018176609296,-0.3576728450179654,2,high volatility (stress/panic)
2010-03-09,0.6860797898828886,-0.3767613462373062,2,high volatility (stress/panic)
2010-03-10,0.6741083748545103,-0.3943643874430419,2,high volatility (stress/panic)
2010-03-11,0.6693695020705133,-0.4014190513406326,2,high volatility (stress/panic)
2010-03-12,0.6571372127373514,-0.4198624349098785,2,high volatility (stress/panic)
2010-03-15,0.6544651559448955,-0.42393693271949423,2,high volatility (stress/panic)
2010-03-16,0.6574891079936023,-0.4193270808566297,2,high volatility (stress/panic)
2010-03-17,0.6624272195830988,-0.411844584389566,2,high volatility (stress/panic)
2010-03-18,0.6504111615268363,-0.4301505598766638,2,high volatility (stress/panic)
2010-03-19,0.6661676593464153,-0.40621389936275293,2,high volatility (stress/panic)
2010-03-22,0.6616238786206788,-0.4130580436919831,2,high volatility (stress/panic)
2010-03-23,0.649125220687493,-0.4321296368408306,2,high volatility (stress/panic)
2010-03-24,0.6369135402139201,-0.4511213622705531,2,high volatility (stress/panic)
2010-03-25,0.6804706156910872,-0.3849706382915643,2,high volatility (stress/panic)
2010-03-26,0.6675904271086717,-0.4040804265592909,2,high volatility (stress/panic)
2010-03-29,0.6597356634096418,-0.41591603417260264,2,high volatility (stress/panic)
2010-03-30,0.6545810649597339,-0.4237598434566549,2,high volatility (stress/panic)
2010-03-31,0.6471175544694237,-0.4352273093786293,2,high volatility (stress/panic)
2010-04-01,0.6570369932217038,-0.42001495580914344,2,high volatility (stress/panic)
2010-04-02,0.6476479307491004,-0.4344080470251035,2,high volatility (stress/panic)
2010-04-05,0.6459436287732006,-0.4370430409680715,2,high volatility (stress/panic)
2010-04-06,0.6337604375441612,-0.4560842547146745,2,high volatility (stress/panic)
2010-04-07,0.6406917594683645,-0.44520681218300134,2,high volatility (stress/panic)
2010-04-08,0.6289067835287832,-0.4637722311515557,2,high volatility (stress/panic)
2010-04-09,0.6170899708779116,-0.4827404458080668,2,high volatility (stress/panic)
2010-04-12,0.6254644114175457,-0.4692608469087771,2,high volatility (stress/panic)
2010-04-13,0.6371294725056869,-0.45078239052206653,2,high volatility (stress/panic)
2010-04-14,0.6251807437280229,-0.4697144810882568,2,high volatility (stress/panic)
