"Date","log_return","prob_regime_1","prob_regime_2"
2010-01-05,-0.117969549783483,0.0283583141884896,0.971641685811511
2010-01-06,0.0138859959953652,0.00462167648752661,0.995378323512474
2010-01-07,-0.6267866470223,0.00258676894980035,0.9974132310502
2010-01-08,0.299954882915105,0.000328256852520979,0.999671743147479
2010-01-11,1.23907029483133,0.000743679216565334,0.999256320783435
2010-01-12,-0.0894731468203074,0.000793463178066437,0.999206536821934
2010-01-13,-0.213682659283607,0.000658211414883165,0.999341788585117
2010-01-14,-0.0966517161881187,7.80021287330996e-05,0.999921997871267
2010-01-15,-0.707010638969176,1.39527722857841e-05,0.999986047227714
2010-01-19,-0.747079753281975,1.51213142546808e-05,0.999984878685745
2010-01-20,-1.23401770436075,0.00055152797920274,0.999448472020797
2010-01-21,0.0851063881156676,0.00070290236939826,0.999297097630602
2010-01-22,0.339703086760549,0.000782070641855518,0.999217929358144
2010-01-25,-0.0565371039794772,0.000600987427022603,0.999399012572977
2010-01-26,-0.588466372568753,0.000610421107098763,0.999389578892901
2010-01-27,-0.0711338769502824,0.000371944836872795,0.999628055163127
2010-01-28,-0.427869154503166,0.000163893151548265,0.999836106848451
2010-01-29,-0.882897024683611,0.000232333870400783,0.999767666129599
2010-02-01,0.244833419629608,0.000204010699865592,0.999795989300134
2010-02-02,0.366129846524914,0.000133969107196175,0.999866030892803
2010-02-03,-0.344555649181159,1.00361620300979e-05,0.999989963837969
2010-02-04,-1.06991550507945,3.35919408787579e-06,0.999996640805911
2010-02-05,-1.10353003521187,1.53750633863551e-05,0.999984624936613
2010-02-08,0.666498237569169,2.82707191302024e-05,0.999971729280869
2010-02-09,0.698337019999695,5.93596779635233e-05,0.999940640322036
2010-02-10,-0.530582340055027,8.48116704442285e-05,0.999915188329556
2010-02-11,-0.599373185338303,0.00012917316297525,0.999870826837025
2010-02-12,-0.110031186600827,7.51894401824652e-05,0.999924810559818
2010-02-16,0.855049605957654,0.000103000053922367,0.999896999946078
2010-02-17,-0.869729582496044,0.000279831062294062,0.999720168937706
2010-02-18,-0.441404380334601,0.000430363709568336,0.999569636290432
2010-02-19,-0.184495089416206,0.000440583795615456,0.999559416204384
2010-02-22,0.383368207663652,0.000396309985621344,0.999603690014379
2010-02-23,-0.390755095940322,0.000300764005127542,0.999699235994872
2010-02-24,0.287685072827608,9.65386629162409e-05,0.999903461337084
2010-02-25,-0.73932023876187,1.5183402517239e-05,0.999984816597483
2010-02-26,1.35615285983377,1.9261851223794e-05,0.999980738148776
2010-03-01,-1.05976852906007,6.4118791379125e-05,0.999935881208621
2010-03-02,0.354505541134882,6.16674157961514e-05,0.999938332584204
2010-03-03,1.22368260762225,0.000191918313063906,0.999808081686936
2010-03-04,-1.17208872403811,0.000876576995244361,0.999123423004756
2010-03-05,0.272269199432692,0.00130036529698575,0.998699634703014
2010-03-08,0.0367363436775336,0.00145305813607199,0.998546941863928
2010-03-09,-0.198536776122577,0.00142475654097371,0.998575243459026
2010-03-10,0.528557976978724,0.00140458603644519,0.998595413963554
2010-03-11,0.11707889527048,0.00117239691840502,0.998827603081595
2010-03-12,0.576076264096847,0.000993917265446717,0.999006082734553
2010-03-15,-0.737095108811013,0.000958150888925056,0.999041849111075
2010-03-16,0.773444205936181,0.00106869908898868,0.998931300911011
2010-03-17,-0.138196916201122,0.00101044361739573,0.998989556382604
2010-03-18,-0.994814729051806,0.00124869994680294,0.998751300053197
2010-03-19,-0.538091446859638,0.00150340216166673,0.998496597838333
2010-03-22,0.00739070988104119,0.00153526330524619,0.998464736694754
2010-03-23,0.0295573784757313,0.00135469387421914,0.998645306125781
2010-03-24,-1.39872825742501,0.0017507288834578,0.998249271116542
2010-03-25,-0.0224794875623499,0.00188866956616838,0.998111330433832
2010-03-26,0.403859646968491,0.0019429623808642,0.998057037619136
2010-03-29,0.498828417748645,0.00197743983546931,0.998022560164531
2010-03-30,-0.416760296605729,0.00193820823493252,0.998061791765068
2010-03-31,0.868763585524317,0.00216341551946552,0.997836584480535
2010-04-01,0.317402001106765,0.00224521188309037,0.99775478811691
2010-04-02,-0.606152062909519,0.00239194838422529,0.997608051615775
2010-04-05,-0.00741482223303798,0.00230278403927707,0.997697215960723
2010-04-06,-0.804054361617382,0.00243711325733357,0.997562886742667
2010-04-07,-0.104704220170626,0.00234723425349978,0.997652765746501
2010-04-08,-0.0299356386010433,0.00199720376210038,0.9980027962379
2010-04-09,0.805133319032843,0.00189538341311611,0.998104616586884
2010-04-12,0.879695194335844,0.00204190418134135,0.997958095818659
2010-04-13,0.0367931127444304,0.00197543059068593,0.998024569409314
2010-04-14,0.542961198895568,0.00191850656363712,0.998081493436363
2010-04-15,-0.926272887445759,0.00214423210622457,0.997855767893775
2010-04-16,-0.392200894940845,0.00227487718382591,0.997725122816174
2010-04-19,-0.215253376859425,0.00222736635110298,0.997772633648897
2010-04-20,-0.0892060719281366,0.00195414765841944,0.998045852341581
2010-04-21,-0.469641923260749,0.00164110750978023,0.99835889249022
2010-04-22,-0.637159683397412,0.00142159797321581,0.998578402026784
2010-04-23,0.465152012823636,0.00116062927808001,0.99883937072192
2010-04-26,-0.179802266000695,0.000679198771736394,0.999320801228263
2010-04-27,-0.798016732162851,0.000423110382187012,0.999576889617813
2010-04-28,-0.758728981215948,0.00027198944426496,0.999728010555735
2010-04-29,0.856942263012258,0.000207177039689708,0.99979282296031
2010-04-30,0.444528891740204,0.000101475766090463,0.999898524233909
2010-05-03,-0.89862790863965,4.81380621137993e-05,0.999951861937886
2010-05-04,-1.11366520951911,3.27086244707627e-05,0.999967291375529
2010-05-05,-1.13396517295458,3.49555749870755e-05,0.999965044425013
2010-05-06,-1.57163405363185,7.95680004270832e-05,0.999920431999573
2010-05-07,0.251869475929634,7.07512046135543e-05,0.999929248795387
2010-05-10,1.0945305109876,8.80020539355632e-05,0.999911997946065
2010-05-11,-1.14170774098667,0.000145981642182293,0.999854018357818
2010-05-12,-0.575779482397606,0.000179789246441885,0.999820210753559
2010-05-13,-0.587070309678706,0.000191321517318842,0.999808678482682
2010-05-14,-1.42642053122688,0.000308121858194886,0.999691878141806
2010-05-17,-0.737173738077767,0.000442252807302165,0.999557747192698
2010-05-18,0.478566837851443,0.000531869521147904,0.999468130478853
2010-05-19,-0.33232046794406,0.000549362450632027,0.999450637549368
2010-05-20,0.42937644450494,0.000513758388521985,0.999486241611479
2010-05-21,1.64365295814064,0.000658428170790124,0.999341571829211
2010-05-24,-1.35304894348772,0.00105448551930214,0.998945514480699
2010-05-25,-1.02897403725501,0.00173049222665265,0.998269507773348
2010-05-26,-0.448925375421104,0.00230129910272114,0.997698700897279
2010-05-27,1.18729539802319,0.00345216388924346,0.996547836110757
2010-05-28,-0.00808440115238611,0.00422545822495659,0.995774541775044
2010-06-01,-0.836213518908087,0.005285912883654,0.994714087116346
2010-06-02,-0.490357308148879,0.00624020457086672,0.993759795429134
2010-06-03,-0.106561754417537,0.00685266622673481,0.993147333773265
2010-06-04,-1.61220473472264,0.00857440345029637,0.991425596549704
2010-06-07,-0.325583624423093,0.00992972821166938,0.990070271788331
2010-06-08,0.30057633049876,0.0109508119104433,0.989049188089557
2010-06-09,0.415973977517671,0.0117816322780688,0.988218367721931
