"target_date","confidence_level","p_min","p_max","actual_price"
2020-01-02,0.2,1.1220166117235,1.12332368136776,1.1166
2020-01-02,0.5,1.1207878178689,1.12447824253379,1.1166
2020-01-02,0.8,1.11902378398676,1.12632800917477,1.1166
2020-01-02,0.95,1.11649762735423,1.12887640775715,1.1166
2020-01-03,0.2,1.11584390924434,1.11729681159926,1.1173
2020-01-03,0.5,1.11469821574869,1.11844517594727,1.1173
2020-01-03,0.8,1.11279134008517,1.12036174000576,1.1173
2020-01-03,0.95,1.11012719310998,1.1230504484342,1.1173
2020-01-06,0.2,1.11654352862493,1.117920734559,1.1187
2020-01-06,0.5,1.1153971531376,1.11914634363334,1.1187
2020-01-06,0.8,1.11356540002446,1.12098727708814,1.1187
2020-01-06,0.95,1.11097556469817,1.12352350614174,1.1187
2020-01-07,0.2,1.11794267013004,1.11932156000256,1.1138
2020-01-07,0.5,1.11679489290614,1.12047193398883,1.1138
2020-01-07,0.8,1.11496089993313,1.12231499203105,1.1138
2020-01-07,0.95,1.11252026009081,1.12485414794965,1.1138
2020-01-08,0.2,1.11304602489207,1.11441885755957,1.1117
2020-01-08,0.5,1.11190328962207,1.1156405746962,1.1117
2020-01-08,0.8,1.11007735297913,1.11747566213423,1.1117
2020-01-08,0.95,1.10749574108363,1.12008053758004,1.1117
2020-01-09,0.2,1.11094753101155,1.11231773581639,1.1106
2020-01-09,0.5,1.10980698311684,1.11353711431324,1.1106
2020-01-09,0.8,1.107984541534,1.11536868891116,1.1106
2020-01-09,0.95,1.10548356983397,1.11789202403995,1.1106
2020-01-10,0.2,1.10984836738264,1.1112171735341,1.1119
2020-01-10,0.5,1.10870898367581,1.11235913482505,1.1119
2020-01-10,0.8,1.1069642000711,1.11418871438872,1.1119
2020-01-10,0.95,1.10446560983488,1.11670930083188,1.1119
2020-01-13,0.2,1.11122366403091,1.11251794355781,1.1138
2020-01-13,0.5,1.1100829031798,1.11366120674341,1.1138
2020-01-13,0.8,1.10826012117081,1.11549287204741,1.1138
2020-01-13,0.95,1.10583440016557,1.11793977955048,1.1138
2020-01-14,0.2,1.11312259038227,1.1144190444062,1.113
2020-01-14,0.5,1.1119799129223,1.11556422833283,1.113
2020-01-14,0.8,1.11015406836082,1.11739897085851,1.113
2020-01-14,0.95,1.10772427163963,1.11977331342588,1.113
2020-01-15,0.2,1.11232316764067,1.11361864941118,1.116
2020-01-15,0.5,1.1111813470723,1.11476297448698,1.116
2020-01-15,0.8,1.1094328315977,1.11651989050379,1.116
2020-01-15,0.95,1.10700469047712,1.11896890258242,1.116
2020-01-16,0.2,1.11532141172,1.11662035437921,1.1131
2020-01-16,0.5,1.11417654073994,1.1177677364975,1.1131
2020-01-16,0.8,1.11242335399351,1.11952934602698,1.1131
2020-01-16,0.95,1.10998872582784,1.12198490040759,1.1131
2020-01-17,0.2,1.1124232479879,1.11371878225179,1.1093
2020-01-17,0.5,1.11128138109073,1.11486315363411,1.1093
2020-01-17,0.8,1.10953279455857,1.11662014063368,1.1093
2020-01-17,0.95,1.10710455453533,1.11906925142917,1.1093
2020-01-21,0.2,1.10862561669406,1.10991670173283,1.1096
2020-01-21,0.5,1.10748767125996,1.11105714299981,1.1096
2020-01-21,0.8,1.10566938759119,1.11280809593116,1.1096
2020-01-21,0.95,1.10332518879122,1.11524879558464,1.1096
2020-01-22,0.2,1.10892552525125,1.1102169182848,1.1085
2020-01-22,0.5,1.10778730831476,1.11135763156982,1.1085
2020-01-22,0.8,1.10604431099476,1.11310900206568,1.1085
2020-01-22,0.95,1.10362383240086,1.11547391259314,1.1085
2020-01-23,0.2,1.10782628274213,1.10911635533268,1.1041
2020-01-23,0.5,1.10668922958793,1.11025590220501,1.1041
2020-01-23,0.8,1.10494801434374,1.11200548180221,1.1041
2020-01-23,0.95,1.10260549282369,1.11436797390705,1.1041
2020-01-24,0.2,1.10342900295178,1.1047139339949,1.1026
2020-01-24,0.5,1.10229648147028,1.10584893921554,1.1026
2020-01-24,0.8,1.10056220572219,1.10759154584546,1.1026
2020-01-24,0.95,1.09815383845094,1.11002061100512,1.1026
2020-01-27,0.2,1.10193000049576,1.1032131469594,1.1019
2020-01-27,0.5,1.10079905188172,1.10434657578768,1.1019
2020-01-27,0.8,1.09906718466048,1.10608676206764,1.1019
2020-01-27,0.95,1.09673723918202,1.10843656998697,1.1019
2020-01-28,0.2,1.10123051554146,1.10251280678146,1.1008
2020-01-28,0.5,1.10010032067115,1.1036454801343,1.1008
2020-01-28,0.8,1.09836960761666,1.10538450643906,1.1008
2020-01-28,0.95,1.09604121474521,1.10773274788325,1.1008
2020-01-29,0.2,1.1001312718797,1.10141224319849,1.1004
2020-01-29,0.5,1.09900224033228,1.10246828062216,1.1004
2020-01-29,0.8,1.09727330865108,1.10420539782247,1.1004
2020-01-29,0.95,1.09502226732013,1.10655106123024,1.1004
2020-01-30,0.2,1.09973160497114,1.1010120700353,1.1032
2020-01-30,0.5,1.09860301959056,1.10206769006506,1.1032
2020-01-30,0.8,1.09694985574611,1.10380412060764,1.1032
2020-01-30,0.95,1.09462461907517,1.1061488566697,1.1032
2020-01-31,0.2,1.10252997377411,1.10381366553236,1.1082
2020-01-31,0.5,1.10139854439654,1.10487194563281,1.1082
2020-01-31,0.8,1.09974121458355,1.10661275177519,1.1082
2020-01-31,0.95,1.09741011821841,1.1089633961883,1.1082
2020-02-03,0.2,1.10752696373277,1.10881646144214,1.1062
2020-02-03,0.5,1.10639041705301,1.10995550029163,1.1062
2020-02-03,0.8,1.1046499769965,1.11170429950756,1.1062
2020-02-03,0.95,1.10230849760623,1.11406573708246,1.1062
2020-02-04,0.2,1.10552826034688,1.10681539375717,1.1043
2020-02-04,0.5,1.10439379749399,1.10795234413852,1.1043
2020-02-04,0.8,1.1026565484209,1.10962198431395,1.1043
2020-02-04,0.95,1.10031936185573,1.11205504438442,1.1043
2020-02-05,0.2,1.10362949676657,1.10491438199391,1.1006
2020-02-05,0.5,1.10249701539708,1.10597364591876,1.1006
2020-02-05,0.8,1.10083814447342,1.10771607024336,1.1006
2020-02-05,0.95,1.09850488019304,1.1100688994261,1.1006
2020-02-06,0.2,1.09993180198092,1.10121235559196,1.0979
2020-02-06,0.5,1.09880313841682,1.10234349384471,1.0979
2020-02-06,0.8,1.09707476991806,1.10400459865829,1.0979
2020-02-06,0.95,1.09474953050915,1.10642522046718,1.0979
2020-02-07,0.2,1.09723351464633,1.0985108935491,1.095
2020-02-07,0.5,1.09610764919732,1.09956396918108,1.095
2020-02-07,0.8,1.09438356550775,1.10129621403988,1.095
2020-02-07,0.95,1.09206409050268,1.10363529749099,1.095
2020-02-10,0.2,1.09433534559163,1.09560931850858,1.0916
2020-02-10,0.5,1.09321248210415,1.09665958620601,1.0916
2020-02-10,0.8,1.09149299538461,1.09838721212968,1.0916
2020-02-10,0.95,1.08917970474995,1.10072005843592,1.0916
2020-02-11,0.2,1.09093747201654,1.09220746085351,1.0917
2020-02-11,0.5,1.08981812001893,1.09332926694266,1.0917
2020-02-11,0.8,1.08810401053738,1.09505160786299,1.0917
2020-02-11,0.95,1.08579795400938,1.097377317632,1.0917
2020-02-12,0.2,1.09103750033947,1.09230756522103,1.0893
2020-02-12,0.5,1.08991808127817,1.09335461106033,1.0893
2020-02-12,0.8,1.08827834390259,1.09507693710693,1.0893
2020-02-12,0.95,1.08597199114894,1.09740262665504,1.0893
2020-02-13,0.2,1.08863903283078,1.08990627116719,1.0848
2020-02-13,0.5,1.08752210501719,1.09095098676283,1.0848
2020-02-13,0.8,1.08588601679233,1.09266947964261,1.0848
2020-02-13,0.95,1.08358479659385,1.09498999307609,1.0848
2020-02-14,0.2,1.08414180435523,1.08540378904785,1.0839
2020-02-14,0.5,1.08302950701875,1.08651852482904,1.0839
2020-02-14,0.8,1.08132620046492,1.08823001033952,1.0839
2020-02-14,0.95,1.07903467721324,1.09054106152678,1.0839
2020-02-18,0.2,1.08324243727438,1.0845033356498,1.0815
2020-02-18,0.5,1.08213109736612,1.08554282450934,1.0815
2020-02-18,0.8,1.08050319427208,1.08725271963025,1.0815
2020-02-18,0.95,1.07821348657993,1.08956162315115,1.0815
2020-02-19,0.2,1.08084396847443,1.08210204088926,1.0794
2020-02-19,0.5,1.07973511929924,1.08313919998755,1.0794
2020-02-19,0.8,1.07811086460304,1.0848452627362,1.0794
2020-02-19,0.95,1.07582628840905,1.08714899121737,1.0794
2020-02-20,0.2,1.07874532046944,1.08000091464812,1.0797
2020-02-20,0.5,1.07763865554615,1.08103603064926,1.0797
2020-02-20,0.8,1.07601760030869,1.08273873256826,1.0797
2020-02-20,0.95,1.07373752415876,1.08503792273828,1.0797
2020-02-21,0.2,1.07904522592561,1.08030112950286,1.0855
2020-02-21,0.5,1.07801204876702,1.08133650053854,1.0855
2020-02-21,0.8,1.07631683345172,1.08303962190553,1.0855
2020-02-21,0.95,1.07410968864681,1.08526511647118,1.0855
2020-02-24,0.2,1.08484170935239,1.08610435911652,1.0857
2020-02-24,0.5,1.08372882568598,1.08721968222377,1.0857
2020-02-24,0.8,1.08202462099866,1.08893206920891,1.0857
2020-02-24,0.95,1.07965801079378,1.09124433716837,1.0857
2020-02-25,0.2,1.085041676069,1.08630451863299,1.0868
2020-02-25,0.5,1.08392862243269,1.08734561015694,1.0868
2020-02-25,0.8,1.0822241573934,1.08905814130446,1.0868
2020-02-25,0.95,1.07993107495142,1.091370603794,1.0868
2020-02-26,0.2,1.08614109367419,1.08740517741574,1.0887
2020-02-26,0.5,1.0850269460425,1.08844729213695,1.0887
2020-02-26,0.8,1.08339492985572,1.09016150631478,1.0887
2020-02-26,0.95,1.08109943632118,1.09247624130148,1.0887
2020-02-27,0.2,1.08804002002805,1.08930627826546,1.0977
