"confidence_level","regime","return_q_low","return_q_high","last_date","last_price"
0.2,"1_calm",-0.0675637982507587,0.0675637982507587,2026-09-11,1.1604
0.2,"2_stress",-0.141053955401973,0.141053955401973,2026-09-11,1.1604
0.5,"1_calm",-0.182545021359032,0.182545021359032,2026-09-11,1.1604
0.5,"2_stress",-0.37723609292832,0.37723609292832,2026-09-11,1.1604
0.8,"1_calm",-0.363019107386723,0.363019107386723,2026-09-11,1.1604
0.8,"2_stress",-0.726761513788308,0.726761513788308,2026-09-11,1.1604
0.95,"1_calm",-0.606075188890524,0.606075188890524,2026-09-11,1.1604
0.95,"2_stress",-1.140751364263,1.140751364263,2026-09-11,1.1604
