Date,r_t,delta_y_t,r_t_plus_1
2010-01-06,0.0138859959953651,-0.018259718825086424,-0.6267866470222999
2010-01-07,-0.6267866470222999,-0.018871561227459827,0.2999548829151047
2010-01-08,0.2999548829151047,0.0027129949064675835,1.2390702948313268
2010-01-11,1.2390702948313268,-0.013575885149700167,-0.0894731468203073
2010-01-12,-0.0894731468203073,0.0643542652037324,-0.2136826592836066
2010-01-13,-0.2136826592836066,-0.018597327240993278,-0.0966517161881187
2010-01-14,-0.0966517161881187,-0.01662425781168188,-0.7070106389691765
2010-01-15,-0.7070106389691765,-0.01843686749186924,-0.7470797532819753
2010-01-19,-0.7470797532819753,0.00849529627435491,-1.234017704360749
2010-01-20,-1.234017704360749,0.011100189578450544,0.0851063881156675
2010-01-21,0.0851063881156675,0.057843765519142984,0.3397030867605495
2010-01-22,0.3397030867605495,-0.01859405384533227,-0.0565371039794772
2010-01-25,-0.0565371039794772,-0.012934999925411418,-0.588466372568753
2010-01-26,-0.588466372568753,-0.018808636399444682,-0.0711338769502824
2010-01-27,-0.0711338769502824,-0.0008492731620354926,-0.4278691545031663
2010-01-28,-0.4278691545031663,-0.018674920426408042,-0.8828970246836105
2010-01-29,-0.8828970246836105,-0.008937167348992884,0.244833419629608
2010-02-01,0.244833419629608,0.02341315231935124,0.3661298465249137
2010-02-02,0.3661298465249137,-0.01547414867120853,-0.3445556491811585
2010-02-03,-0.3445556491811585,-0.01112418092614771,-1.0699155050794484
2010-02-04,-1.0699155050794484,-0.012268688191651708,-1.1035300352118669
2010-02-05,-1.1035300352118669,0.04401012597688577,0.6664982375691691
2010-02-08,0.6664982375691691,0.042426089043232154,0.6983370199996954
2010-02-09,0.6983370199996954,0.0030105480553584067,-0.5305823400550268
2010-02-10,-0.5305823400550268,0.004946619415042969,-0.599373185338303
2010-02-11,-0.599373185338303,-0.005690508921783865,-0.1100311866008267
2010-02-12,-0.1100311866008267,-0.001835088555126509,0.8550496059576536
2010-02-16,0.8550496059576536,-0.018445863410669908,-0.869729582496044
2010-02-17,-0.869729582496044,0.01787541852963548,-0.4414043803346005
2010-02-18,-0.4414043803346005,0.01684669268745459,-0.1844950894162065
