Date,conditional_volatility,residual,standardized_residual
2010-01-05,0.604753777356531,-0.11218809789300477,-0.18551037148274738
2010-01-06,0.5938113502756857,0.01966744788584353,0.03312070049976753
2010-01-07,0.5827102797429738,-0.6210051951318215,-1.065718619904456
2010-01-08,0.5842933161777811,0.3057363348055831,0.5232583128035605
2010-01-11,0.5764146183781956,1.2448517467218052,2.1596463847921297
2010-01-12,0.6147289817050848,-0.08369169492982886,-0.1361440527786598
2010-01-13,0.6034023149836557,-0.20790120739312817,-0.3445482429061605
2010-01-14,0.5934541191323245,-0.09087026429764027,-0.15312095976433623
2010-01-15,0.5826129300499386,-0.7012291870786981,-1.203593588317019
2010-01-19,0.587583482769261,-0.7412983013914969,-1.2616050708195254
2010-01-20,0.5941421044503727,-1.2282362524702706,-2.06724324579973
2010-01-21,0.6295229367962302,0.09088784000614593,0.14437574025291686
2010-01-22,0.6179257072998877,0.3454845386510279,0.5591036828046378
2010-01-25,0.6099843100339922,-0.050755652088998765,-0.083208127248667
2010-01-26,0.5986185591400919,-0.5826849206782746,-0.9733826520769657
2010-01-27,0.5981103842836955,-0.06535242505980396,-0.10926482264318291
2010-01-28,0.5870443705208208,-0.4220877026126879,-0.7190047700111922
2010-01-29,0.5818212315393589,-0.8771155727931321,-1.5075344886821944
2010-02-01,0.595604222672109,0.25061487152008644,0.4207741684498676
2010-02-02,0.5864586964872859,0.3719112984153921,0.6341645211214887
2010-02-03,0.5799709760329887,-0.3387741972906801,-0.5841226738756848
2010-02-04,0.5728989638309316,-1.06413405318897,-1.857455014533779
2010-02-05,0.5986753704794673,-1.0977485833213885,-1.833629104271023
2010-02-08,0.6246213260477688,0.6722796894596476,1.0762996097386435
2010-02-09,0.6265046120052615,0.7041184718901738,1.1238839401939797
2010-02-10,0.6296113695211977,-0.5248008881645484,-0.8335314665039248
2010-02-11,0.6260387351004202,-0.5935917334478246,-0.9481709360246041
2010-02-12,0.624890952046446,-0.10424973471034826,-0.16682868325896283
2010-02-16,0.6134699577793873,0.860831057848132,1.4032163220577776
2010-02-17,0.6245345878543745,-0.8639481306055656,-1.3833471314594608
2010-02-18,0.6351450548206377,-0.4356229284441221,-0.6858636860002637
2010-02-19,0.628847825094775,-0.17871363752572805,-0.284192185126495
2010-02-22,0.6179811530287469,0.3891496595541307,0.6297112098757298
2010-02-23,0.6110201900048261,-0.3849736440498437,-0.6300506110064923
2010-02-24,0.6041546400395872,0.2934665247180861,0.485747365440836
2010-02-25,0.5955370170148439,-0.7335387868713921,-1.2317266029041962
2010-02-26,0.6013491457192788,1.3619343117242444,2.2647979487776992
2010-03-01,0.6461603259162763,-1.0539870771695887,-1.6311541190261116
2010-03-02,0.6659146355263985,0.3602869930253608,0.5410408088426496
2010-03-03,0.6570260174167597,1.2294640595127309,1.8712562774098893
2010-03-04,0.687042636633297,-1.1663072721476306,-1.6975762637714389
2010-03-05,0.7107363227455533,0.2780506513231707,0.39121491673461867
2010-03-08,0.6993018176609296,0.04251779556801193,0.060800350426984784
2010-03-09,0.6860797898828886,-0.19275532423209857,-0.2809517596561199
2010-03-10,0.6741083748545103,0.534339428869202,0.7926610153516133
