Date,log_return
2010-01-05,-0.11796954978348323
2010-01-06,0.013885995995365183
2010-01-07,-0.6267866470222999
2010-01-08,0.2999548829151047
2010-01-11,1.2390702948313268
2010-01-12,-0.08947314682030738
2010-01-13,-0.21368265928360664
2010-01-14,-0.09665171618811873
2010-01-15,-0.7070106389691765
2010-01-19,-0.7470797532819753
2010-01-20,-1.234017704360749
2010-01-21,0.08510638811566758
2010-01-22,0.3397030867605495
2010-01-25,-0.05653710397947721
2010-01-26,-0.588466372568753
2010-01-27,-0.07113387695028243
2010-01-28,-0.4278691545031663
2010-01-29,-0.8828970246836105
2010-02-01,0.244833419629608
2010-02-02,0.36612984652491376
2010-02-03,-0.34455564918115855
2010-02-04,-1.0699155050794484
2010-02-05,-1.1035300352118667
2010-02-08,0.6664982375691691
2010-02-09,0.6983370199996954
2010-02-10,-0.5305823400550268
2010-02-11,-0.599373185338303
2010-02-12,-0.11003118660082678
2010-02-16,0.8550496059576536
2010-02-17,-0.869729582496044
2010-02-18,-0.44140438033460055
2010-02-19,-0.1844950894162065
2010-02-22,0.38336820766365237
2010-02-23,-0.3907550959403221
2010-02-24,0.2876850728276077
2010-02-25,-0.7393202387618705
2010-02-26,1.356152859833766
2010-03-01,-1.0597685290600671
2010-03-02,0.3545055411348824
2010-03-03,1.2236826076222524
2010-03-04,-1.172088724038109
2010-03-05,0.2722691994326923
2010-03-08,0.036736343677533596
2010-03-09,-0.198536776122577
2010-03-10,0.5285579769787236
2010-03-11,0.11707889527048027
2010-03-12,0.5760762640968472
2010-03-15,-0.7370951088110135
2010-03-16,0.7734442059361814
2010-03-17,-0.138196916201122
2010-03-18,-0.9948147290518057
2010-03-19,-0.5380914468596381
2010-03-22,0.0073907098810411945
2010-03-23,0.029557378475731255
2010-03-24,-1.398728257425006
2010-03-25,-0.022479487562349937
2010-03-26,0.4038596469684912
2010-03-29,0.49882841774864456
2010-03-30,-0.41676029660572916
2010-03-31,0.8687635855243174
2010-04-01,0.3174020011067649
2010-04-02,-0.606152062909519
2010-04-05,-0.007414822233037977
2010-04-06,-0.8040543616173824
2010-04-07,-0.10470422017062567
2010-04-08,-0.029935638601043264
2010-04-09,0.8051333190328431
2010-04-12,0.8796951943358444
2010-04-13,0.03679311274443037
2010-04-14,0.5429611988955678
2010-04-15,-0.9262728874457593
2010-04-16,-0.3922008949408454
2010-04-19,-0.21525337685942494
2010-04-20,-0.0892060719281366
2010-04-21,-0.46964192326074894
2010-04-22,-0.6371596833974125
2010-04-23,0.4651520128236361
2010-04-26,-0.1798022660006948
2010-04-27,-0.798016732162851
2010-04-28,-0.7587289812159481
2010-04-29,0.8569422630122583
2010-04-30,0.44452889174020443
2010-05-03,-0.8986279086396503
2010-05-04,-1.11366520951911
2010-05-05,-1.1339651729545837
2010-05-06,-1.5716340536318536
2010-05-07,0.251869475929634
2010-05-10,1.0945305109875954
2010-05-11,-1.1417077409866705
2010-05-12,-0.575779482397606
2010-05-13,-0.5870703096787062
2010-05-14,-1.4264205312268803
2010-05-17,-0.7371737380777666
2010-05-18,0.47856683785144283
2010-05-19,-0.33232046794406045
2010-05-20,0.4293764445049402
2010-05-21,1.643652958140639
2010-05-24,-1.353048943487724
2010-05-25,-1.0289740372550071
2010-05-26,-0.44892537542110444
2010-05-27,1.1872953980231942
2010-05-28,-0.008084401152386107
2010-06-01,-0.8362135189080873
2010-06-02,-0.4903573081488793
2010-06-03,-0.10656175441753689
2010-06-04,-1.6122047347226436
2010-06-07,-0.3255836244230934
2010-06-08,0.30057633049875954
2010-06-09,0.4159739775176712
2010-06-10,0.5464494472078967
2010-06-11,-0.28113132456753154
2010-06-14,1.6424775905464655
2010-06-15,0.40643853706794353
2010-06-16,-0.03245436133962467
2010-06-17,0.3402466017393416
2010-06-18,-0.04044489438348097
2010-06-21,0.2020610911778074
2010-06-22,-0.6642927863291028
2010-06-23,0.05688051183304679
2010-06-24,-0.17887637910459261
2010-06-25,0.3574333618587647
2010-06-28,-0.12982799616500598
2010-06-29,-1.0529420220888794
2010-06-30,0.8497477391478557
2010-07-01,1.3977201895548685
2010-07-02,0.9025259936626095
2010-07-06,0.5471210571402808
2010-07-07,-0.4120449569870416
2010-07-08,0.7042004018741509
2010-07-09,-0.34752424203033144
2010-07-12,-0.523561405394494
2010-07-13,1.1545280858303273
2010-07-14,0.2826413124427363
2010-07-15,1.0761176834925597
2010-07-16,0.2014567549463791
2010-07-19,0.3400049639741646
2010-07-20,-0.4484312447328687
2010-07-21,-0.6764400088542036
2010-07-22,0.6609409387673807
2010-07-23,-0.22500688392847462
2010-07-26,0.8431035747692177
2010-07-27,0.0
2010-07-28,0.11546900940407778
2010-07-29,0.5064856196006782
2010-07-30,0.03826579467349289
2010-08-02,0.8002176603602291
2010-08-03,0.49218287370188113
2010-08-04,-0.6137080291713652
2010-08-05,-0.007600228010498899
2010-08-06,0.9455798734820651
2010-08-09,-0.309165876090213
2010-08-10,-1.1087598397944491
2010-08-11,-1.508068897667626
2010-08-12,-0.25616159941904615
2010-08-13,-0.7724456150594804
2010-08-16,0.5545806051372736
2010-08-17,0.40422940615093983
2010-08-18,-0.13974072610140031
2010-08-19,-0.2722783587292482
2010-08-20,-1.1753778944328404
2010-08-23,-0.18934916899898258
2010-08-24,0.09471940087755962
2010-08-25,-0.18162440338444313
2010-08-26,0.5124375595207398
2010-08-27,0.3767369654837402
2010-08-30,-0.6208027481741816
2010-08-31,0.14178812930744697
2010-09-01,0.8543376022659404
2010-09-02,0.08581347798124973
2010-09-03,0.47454287970765724
2010-09-07,-1.265246494376503
2010-09-08,0.03143418493465701
2010-09-09,-0.14940046026403375
2010-09-10,0.18082476722385138
2010-09-13,1.2411852871587656
2010-09-14,0.9573884121696314
2010-09-15,-0.04611482673375483
2010-09-16,0.5443337701560569
2010-09-17,-0.2526317133111136
2010-09-20,0.21439518166334318
2010-09-21,0.47310275195347384
2010-09-22,1.877812426224345
2010-09-23,-0.30678313559249076
2010-09-24,0.9843479927915325
2010-09-27,-0.007420874924552385
2010-09-28,0.7982894045292859
2010-09-29,0.4041003258107248
2010-09-30,-0.27166946478446347
2010-10-01,1.1186371447027994
2010-10-04,-0.4810154307751998
2010-10-05,1.0609793588500587
2010-10-06,0.6484639770799504
2010-10-07,-0.021547854276244217
2010-10-08,0.014365752071846243
2010-10-12,-0.5545766671314756
2010-10-13,0.8486206986955992
2010-10-14,0.7277948643036842
2010-10-15,-0.48460756184787446
2010-10-18,-0.1429797212410586
2010-10-19,-1.0861462648456242
2010-10-20,0.8784618703617323
2010-10-21,0.17190749882126652
2010-10-22,-0.49503275752745834
2010-10-25,0.5880260758638828
2010-10-26,-0.8112324183086703
2010-10-27,-0.614585644396954
2010-10-28,1.017434905127541
2010-10-29,-0.2515905435205252
2010-11-01,-0.043193435269478685
2010-11-02,0.9887592196724289
2010-11-03,-0.0855920166376617
2010-11-04,1.4873848823206663
2010-11-05,-1.3518980002550156
2010-11-08,-0.7582296698043722
2010-11-09,-0.4461723003213526
2010-11-10,-0.9930136322134898
2010-11-12,-0.2041709911527208
2010-11-15,-0.6223706708356409
2010-11-16,-0.7223973624032275
2010-11-17,0.2807330448938204
2010-11-18,0.4636964110146002
2010-11-19,0.2640071935313702
2010-11-22,-0.3080762357429265
2010-11-23,-1.6592973289579094
2010-11-24,-0.2842398502821622
2010-11-26,-0.8047273901431165
2010-11-29,-1.1467754305893294
2010-11-30,-0.42865956636188646
2010-12-01,0.8630949129466648
2010-12-02,0.5990085014764562
2010-12-03,1.0453187869789575
2010-12-06,-0.6906415861333549
2010-12-07,0.360929785007247
2010-12-08,-0.6098268475420592
2010-12-09,-0.2722324730274788
2010-12-10,0.2722324730274665
2010-12-13,1.1039877812588157
2010-12-14,0.04480286813294303
2010-12-15,-0.6666441676876256
2010-12-16,-0.7543789547316132
2010-12-17,-0.3869357280123632
2010-12-20,-0.23592993934007395
2010-12-21,0.05332317780128059
2010-12-22,-0.3203664067285669
2010-12-23,0.09163803619513551
2010-12-27,0.34289666698508203
2010-12-28,-0.1827318918698658
2010-12-29,0.46379098531471197
2010-12-30,0.6502366778466581
2011-01-03,0.7657695078229125
2011-01-04,-0.4873121312832603
2011-01-05,-1.0197618302786315
2011-01-06,-1.0993316301482454
2011-01-07,-0.639176639929117
2011-01-10,0.007725288736499019
2011-01-11,0.254600299547587
2011-01-12,0.6757820219581785
2011-01-13,2.255108807595159
2011-01-14,-0.26974390700232154
2011-01-18,0.531299188198419
2011-01-19,0.7139169163496926
2011-01-20,-0.3860721997852182
2011-01-21,1.0213232649815538
2011-01-24,0.5287520580683197
2011-01-25,-0.06594131462152071
2011-01-26,0.3219672033493065
2011-01-27,0.0
2011-01-28,-0.5935170381170993
2011-01-31,0.7905758180845104
2011-02-01,0.5671092703816323
2011-02-02,-0.10155230816167685
2011-02-03,-0.911317501567753
2011-02-04,-0.5139889427096982
2011-02-07,-0.19896104717393046
2011-02-08,0.9543458131876953
2011-02-09,0.007305936076308022
2011-02-10,-0.37328497141955386
2011-02-11,-0.8616616260878739
2011-02-14,-0.34081680763500966
2011-02-15,0.14832396667654765
2011-02-16,0.39199783933657917
2011-02-17,0.4786636040060009
2011-02-18,0.4471328688285291
2011-02-22,-0.0878027421594459
2011-02-23,0.7075415198472061
2011-02-24,0.26132419052772327
2011-02-25,-0.26859295302410024
2011-02-28,0.2613431614524365
2011-03-01,0.14489606244400668
2011-03-02,0.4045955956375248
2011-03-03,0.5608297702359242
2011-03-04,0.25778746821562115
2011-03-07,-0.05007332269582707
2011-03-08,-0.4589795779773451
2011-03-09,-0.0431375375155815
2011-03-10,-0.5986530194605846
2011-03-11,0.29616809310847936
2011-03-14,0.7974466627857711
2011-03-15,-0.05010199439163673
2011-03-16,-0.32986763507716504
2011-03-17,0.7085882992519555
2011-03-18,0.8522173586644897
2011-03-21,0.3036189446267495
2011-03-22,0.1972109386873885
2011-03-23,-0.6211200092640635
2011-03-24,0.5366486541075042
2011-03-25,-0.39514587119272643
2011-03-28,-0.2832060799718507
2011-03-29,-0.09931191849803485
2011-03-30,0.03547986554869275
2011-03-31,0.6223939746394496
2011-04-01,0.22536807904927408
2011-04-04,0.04220002875960158
2011-04-05,0.06326667112017914
2011-04-06,0.7212158839317596
2011-04-07,-0.32145380580574995
2011-04-08,1.044432276465646
2011-04-11,0.11768372131117953
2011-04-12,0.006918260751997167
2011-04-13,0.15208077035971254
2011-04-14,-0.08983795220858369
2011-04-15,-0.14529355307910005
2011-04-18,-1.6193555509305197
2011-04-19,0.7571014082144711
2011-04-20,1.3457472796356715
2011-04-21,0.4948803831458834
2011-04-22,-0.274631137251981
2011-04-25,0.21290485704375395
2011-04-26,0.33560526003176544
2011-04-27,0.23220881899739085
2011-04-28,0.8558671996546413
2011-04-29,0.2431940670337532
2011-05-02,0.33006664972859157
2011-05-03,0.03361909596297075
2011-05-04,-0.10762091574831667
2011-05-05,-1.874927554278229
2011-05-06,-0.6052704357809309
2011-05-09,-1.3474297482820574
2011-05-10,0.39778132634930546
2011-05-11,-0.621792620585301
2011-05-12,-0.28072163848838344
2011-05-13,-0.6203756237914997
2011-05-16,0.5500719088597996
2011-05-17,-0.45111798503744693
2011-05-18,0.80915129248822
2011-05-19,-0.11218624090660519
2011-05-20,-0.576938207645345
2011-05-23,-1.1140002386473955
2011-05-24,0.6542943475613698
2011-05-25,-0.03544967955165974
2011-05-26,-0.09932601029436618
2011-05-27,1.4026661689116027
2011-05-31,0.621011659823691
2011-06-01,0.38185209726828634
2011-06-02,-0.03465363724597424
2011-06-03,1.2263329711909388
2011-06-06,0.1094990528242113
2011-06-07,0.3754911392527759
2011-06-08,-0.6014644610083852
2011-06-09,-0.3639988909632094
2011-06-10,-1.1696039763191188
2011-06-13,0.0208819128590998
2011-06-14,0.7281333095623712
2011-06-15,-1.756509926490832
2011-06-16,-0.46518268266962953
2011-06-17,1.200814962839656
2011-06-20,-0.04189066597600546
2011-06-21,0.5501598193633981
2011-06-22,0.02777584907795657
2011-06-23,-1.6591790885481992
2011-06-24,0.162228919374536
2011-06-27,0.653298660174183
2011-06-28,0.6003508432925609
2011-06-29,0.41672514814486983
2011-06-30,0.6562836584374258
2011-07-01,-0.10333782050109515
2011-07-05,-0.26226807772634075
2011-07-06,-0.9792084908926716
2011-07-07,0.1394797631803796
2011-07-08,-0.6853173675194417
2011-07-11,-1.5344122860978193
2011-07-12,-0.14261268817547867
2011-07-13,1.08584864488717
2011-07-14,0.10582384845908407
2011-07-15,-0.18349923985879743
2011-07-18,-0.8085723888159945
2011-07-19,0.8085723888160016
2011-07-20,0.22579744281586078
2011-07-21,1.2885332339896798
2011-07-22,-0.041756559866239155
2011-07-25,-0.06266755070531078
2011-07-26,0.9566134228062009
2011-07-27,-0.8452315804524074
2011-07-28,-0.4882141096331825
2011-07-29,0.5925220360614628
2011-08-01,-1.3011726073475787
2011-08-02,0.21101506036322906
2011-08-03,0.6164211168965429
2011-08-04,-1.1377326180502019
2011-08-05,0.0
2011-08-08,0.5845292885293089
2011-08-09,0.007021732264240847
2011-08-10,-0.3446460242812202
2011-08-11,0.2603526784640401
2011-08-12,0.0632266697096461
2011-08-15,1.4848134486536202
2011-08-16,-0.21473357054605413
2011-08-17,0.10396092006088886
2011-08-18,-0.8067925248042648
2011-08-19,0.6126446341155585
2011-08-22,-0.16671301443906056
2011-08-23,0.3262192724676449
2011-08-24,-0.20115846272657278
2011-08-25,-0.15287335337743807
2011-08-26,0.5755311798694261
2011-08-29,0.3244402804501629
2011-08-30,-0.5182253781198134
2011-08-31,-0.20110266477271324
2011-09-01,-0.8574767586679944
2011-09-02,-0.5616808981500404
2011-09-06,-1.4467311406302796
2011-09-07,0.42057302610254865
2011-09-08,-0.7927197377156201
2011-09-09,-2.0353435017970862
2011-09-12,-0.2270980061034724
2011-09-13,0.3294895896852706
2011-09-14,0.219058137981846
2011-09-15,1.0737189630966555
2011-09-16,-0.5426734492887662
2011-09-19,-1.0722594436645227
2011-09-20,0.4463476477027476
2011-09-21,0.1969294243519203
2011-09-22,-2.0464460949358374
2011-09-23,0.5340466631317283
2011-09-26,-0.01479618261188569
2011-09-27,0.6636703070825676
2011-09-28,0.16156278758511713
2011-09-29,0.08068361460179177
