period,start_date,end_date,n_obs,omega,alpha,beta,nu,alpha_plus_beta,half_life_days,log_likelihood,aic
Period 1,2010-01-05,2013-05-01,835,0.004378493009374555,0.02825431099508714,0.9612196772440962,12.591251140881324,0.9894739882391833,65.50369928800622,-808.2392889794274,1626.4785779588549
Period 2,2013-05-02,2016-08-29,835,0.00038158938703730736,0.03861393175523881,0.961377443431587,5.94904856856812,0.9999913751868259,80366.28474515479,-625.7214414748432,1261.4428829496865
Period 3,2016-08-30,2020-01-07,835,0.00023284070412961892,0.0170278080967042,0.9809057130253581,10.582598476786677,0.9979335211220624,335.07758246607943,-411.5930209833318,833.1860419666637
Period 4,2020-01-08,2023-05-10,835,0.003341355633347931,0.07199785997858263,0.9192057394944559,6.892702409563531,0.9912035994730386,78.45187234410109,-543.745876447476,1097.491752894952
Period 5,2023-05-11,2026-09-11,835,0.0018779289533884308,0.040803682121895654,0.9494131017287446,5.541005931737931,0.9902167838506403,70.50350416158233,-417.46620320039267,844.9324064007853
