"target_date","cutoff_price","p_min","p_max","range_width_pct","actual_price","inside_range","prob_calm","prob_stress"
2020-01-02,1.1227,1.11649762735423,1.12887640775715,0.0110259022026599,1.1166,TRUE,0.987409032265784,0.0125909677342163
2020-01-03,1.1166,1.11012719310998,1.1230504484342,0.0115737554399212,1.1173,TRUE,0.964297049803317,0.0357029501966829
2020-01-06,1.1173,1.11097556469817,1.12352350614174,0.0112305928967756,1.1187,TRUE,0.981467724269454,0.0185322757305463
2020-01-07,1.1187,1.11252026009081,1.12485414794965,0.0110251969776029,1.1138,TRUE,0.989025622562772,0.0109743774372283
2020-01-08,1.1138,1.10749574108363,1.12008053758004,0.0112989733313117,1.1117,TRUE,0.980379855997494,0.0196201440025062
2020-01-09,1.1117,1.10548356983397,1.11789202403995,0.0111616930880473,1.1106,TRUE,0.986647593609201,0.0133524063907993
2020-01-10,1.1106,1.10446560983488,1.11670930083188,0.0110243931181378,1.1119,TRUE,0.992127088771507,0.00787291122849266
2020-01-13,1.1119,1.10583440016557,1.11793977955048,0.0108871115971844,1.1138,TRUE,0.994778578466027,0.00522142153397255
2020-01-14,1.1138,1.10772427163963,1.11977331342588,0.0108179581489048,1.113,TRUE,0.995789615663886,0.00421038433611429
2020-01-15,1.113,1.10700469047712,1.11896890258242,0.0107495167163541,1.116,TRUE,0.996843972123392,0.00315602787660804
2020-01-16,1.116,1.10998872582784,1.12198490040759,0.010749260376115,1.1131,TRUE,0.996258799507197,0.00374120049280342
2020-01-17,1.1131,1.10710455453533,1.11906925142917,0.0107489865185842,1.1093,TRUE,0.995883818938215,0.00411618106178534
2020-01-21,1.1093,1.10332518879122,1.11524879558464,0.0107487666036444,1.1096,TRUE,0.994247731140051,0.00575226885994853
2020-01-22,1.1096,1.10362383240086,1.11547391259314,0.0106795964241908,1.1085,TRUE,0.996221483352194,0.00377851664780561
2020-01-23,1.1085,1.10260549282369,1.11436797390705,0.0106111692226964,1.1041,TRUE,0.996985964930771,0.0030140350692289
2020-01-24,1.1041,1.09815383845094,1.11002061100512,0.0107479146401444,1.1026,TRUE,0.994438304193098,0.00556169580690203
2020-01-27,1.1026,1.09673723918202,1.10843656998697,0.0106106754987774,1.1019,TRUE,0.995882668208121,0.00411733179187942
2020-01-28,1.1019,1.09604121474521,1.10773274788325,0.0106103395390139,1.1008,TRUE,0.996927762948845,0.003072237051155
2020-01-29,1.1008,1.09502226732013,1.10655106123024,0.010473104932875,1.1004,TRUE,0.997342259068523,0.00265774093147747
2020-01-30,1.1004,1.09462461907517,1.1061488566697,0.0104727713509024,1.1032,TRUE,0.997653084812688,0.00234691518731158
2020-01-31,1.1032,1.09741011821841,1.1089633961883,0.0104725144759741,1.1082,TRUE,0.997012029882093,0.00298797011790729
2020-02-03,1.1082,1.10230849760623,1.11406573708246,0.0106093119258525,1.1062,TRUE,0.992968115573076,0.00703188442692436
2020-02-04,1.1062,1.10031936185573,1.11205504438442,0.0106090060827032,1.1043,TRUE,0.994622339751897,0.00537766024810275
2020-02-05,1.1043,1.09850488019304,1.1100688994261,0.0104718095020034,1.1006,TRUE,0.995705917133986,0.00429408286601401
2020-02-06,1.1006,1.09474953050915,1.10642522046718,0.0106084771561202,1.0979,TRUE,0.99406887999886,0.00593112000114
2020-02-07,1.0979,1.09206409050268,1.10363529749099,0.0105393997525379,1.095,TRUE,0.994371626788474,0.00562837321152553
2020-02-10,1.095,1.08917970474995,1.10072005843592,0.0105391357862758,1.0916,TRUE,0.994266557007605,0.00573344299239545
2020-02-11,1.0916,1.08579795400938,1.097377317632,0.0106076984450588,1.0917,TRUE,0.993155839430048,0.00684416056995172
2020-02-12,1.0917,1.08597199114894,1.09740262665504,0.0104704914409612,1.0893,TRUE,0.995792290894787,0.00420770910521275
2020-02-13,1.0893,1.08358479659385,1.09498999307609,0.0104702069973695,1.0848,TRUE,0.995963142503397,0.00403685749660342
2020-02-14,1.0848,1.07903467721324,1.09054106152678,0.0106069176931642,1.0839,TRUE,0.992278221876054,0.00772177812394638
2020-02-18,1.0839,1.07821348657993,1.08956162315115,0.0104697265164815,1.0815,TRUE,0.99516852843695,0.00483147156304998
2020-02-19,1.0815,1.07582628840905,1.08714899121737,0.0104694431884673,1.0794,TRUE,0.995516762313035,0.00448323768696495
2020-02-20,1.0794,1.07373752415876,1.08503792273828,0.0104691482115314,1.0797,TRUE,0.996040458124844,0.00395954187515639
2020-02-21,1.0797,1.07410968864681,1.08526511647118,0.0103319698289977,1.0855,FALSE,0.997089072355441,0.00291092764455876
2020-02-24,1.0855,1.07965801079378,1.09124433716837,0.010673723053514,1.0857,TRUE,0.99003686444761,0.0099631355523905
2020-02-25,1.0857,1.07993107495142,1.091370603794,0.0105365467832542,1.0868,TRUE,0.994374133791542,0.00562586620845789
2020-02-26,1.0868,1.08109943632118,1.09247624130148,0.010468167998069,1.0887,TRUE,0.996094353531538,0.00390564646846204
2020-02-27,1.0887,1.08298968952864,1.09431119096018,0.0103991011587565,1.0977,FALSE,0.996555586142428,0.00344441385757183
2020-02-28,1.0977,1.09134462111711,1.10396183662056,0.0114942293007661,1.1001,TRUE,0.964702103658344,0.0352978963416561
2020-03-02,1.1001,1.09388062399319,1.10629972407523,0.0112890647050593,1.1164,FALSE,0.974759222666278,0.0252407773337222
2020-03-03,1.1164,1.10659780170604,1.12623213570123,0.0175871855922603,1.1175,TRUE,0.641362960753843,0.358637039246157
2020-03-04,1.1175,1.10852262786917,1.12649330812786,0.0160811456453688,1.113,TRUE,0.767138612172221,0.232861387827779
2020-03-05,1.113,1.10383231909224,1.1221105508818,0.0164224903769614,1.1202,TRUE,0.737523407097292,0.262476592902708
2020-03-06,1.1202,1.10960525070956,1.13083893382594,0.0189552607716304,1.1319,FALSE,0.507419795401407,0.492580204598593
2020-03-09,1.1319,1.11950670867074,1.14429413736052,0.021898956347539,1.142,TRUE,0.122541768036589,0.877458231963411
2020-03-10,1.142,1.12910890274072,1.15497945984019,0.0226537277578544,1.1342,TRUE,0.0325469654326048,0.967453034567395
2020-03-11,1.1342,1.12124322023635,1.14716949253419,0.022858642477379,1.128,TRUE,0.0164067211322047,0.983593278867795
2020-03-12,1.128,1.11511406722733,1.14097666926135,0.0229278386826434,1.1081,FALSE,0.0131222817864695,0.986877718213531
2020-03-13,1.1081,1.09461241589682,1.121695276058,0.0244408087367391,1.1066,TRUE,0.00459156134789518,0.995408438652105
2020-03-16,1.1066,1.09320597724681,1.120099844458,0.0243031512842812,1.1139,TRUE,0.009717209466436,0.990282790533564
2020-03-17,1.1139,1.10041739001597,1.1274890693007,0.02430350954729,1.0971,FALSE,0.00834969030193986,0.99165030969806
2020-03-18,1.0971,1.08329822079993,1.1110188411475,0.0252671774200822,1.0833,TRUE,0.00415754304215264,0.995842456957848
2020-03-19,1.0833,1.06930355633954,1.09734586002103,0.0258859998905981,1.0699,TRUE,0.00362273397881819,0.996377266021182
2020-03-20,1.0699,1.05585772054609,1.08407057011256,0.0263696135774124,1.0682,TRUE,0.00360553527953307,0.996394464720467
2020-03-23,1.0682,1.05425270635753,1.08227357006051,0.026231851435106,1.076,TRUE,0.00776540537547672,0.992234594624523
2020-03-24,1.076,1.06187773104985,1.09017663751249,0.0263000989429703,1.0794,TRUE,0.00763019987135487,0.992369800128645
2020-03-25,1.0794,1.06530639996711,1.09354628314148,0.0261625747400171,1.0835,TRUE,0.0120717151669771,0.987928284833023
2020-03-26,1.0835,1.06942636447796,1.09769982423478,0.0260945636888119,1.1025,FALSE,0.0164217208959799,0.98357827910402
2020-03-27,1.1025,1.08757868567298,1.11756468050446,0.0271981812530483,1.1059,TRUE,0.00737174678948313,0.992628253210517
2020-03-30,1.1059,1.09100776932111,1.12093406793766,0.0270605828886438,1.1018,TRUE,0.0118087165113172,0.988191283488683
2020-03-31,1.1018,1.08703775326959,1.11670159298105,0.026923071075931,1.1016,TRUE,0.0163800554666709,0.983619944533329
2020-04-01,1.1016,1.0869898794563,1.11634552443133,0.0266481889751568,1.0934,TRUE,0.0266199965979526,0.973380003402047
2020-04-02,1.0934,1.07882432296927,1.10811197801983,0.0267858560916032,1.0862,TRUE,0.0208661511734061,0.979133848826594
2020-04-03,1.0862,1.07172010680313,1.10081524984392,0.0267861747751707,1.0797,TRUE,0.0189654287332492,0.981034571266751
2020-04-06,1.0797,1.06530668851467,1.09422784185175,0.0267862863175737,1.0808,TRUE,0.0188859755039861,0.981114024496014
2020-04-07,1.0808,1.06653863627061,1.09519220307969,0.0265114422733964,1.0886,TRUE,0.0295658084060042,0.970434191593996
2020-04-08,1.0886,1.07416174227055,1.10317193163308,0.0266490808033567,1.0864,TRUE,0.0238921753735337,0.976107824626466
2020-04-09,1.0864,1.07213825915977,1.10079130751276,0.0263743081305182,1.0931,TRUE,0.0348503862556563,0.965149613744344
2020-04-10,1.0931,1.07875016144096,1.10758016958953,0.0263745386044912,1.0951,TRUE,0.0318224367223133,0.968177563277687
2020-04-13,1.0951,1.08079839485189,1.10953031095424,0.0262367967330385,1.0906,TRUE,0.0459106566768107,0.954089343323189
2020-04-14,1.0906,1.07643114155175,1.10489513954166,0.026099392985428,1.0971,TRUE,0.0529326606785647,0.947067339321435
2020-04-15,1.0971,1.08284659488838,1.11148041437598,0.0260995529009149,1.0909,TRUE,0.0481300989495818,0.951869901050418
2020-04-16,1.0909,1.07672713977944,1.1051991505371,0.0260995606908633,1.084,TRUE,0.0456239303181668,0.954376069681833
2020-04-17,1.084,1.06991664754953,1.0982088106061,0.0260997814175018,1.0883,TRUE,0.0396561214269088,0.960343878573091
2020-04-20,1.0883,1.07423459989941,1.10248947233198,0.0259623931200657,1.0874,TRUE,0.0467790605661308,0.953220939433869
2020-04-21,1.0874,1.07349378649704,1.10142645797413,0.0256875772274089,1.0854,TRUE,0.0684682434425427,0.931531756557457
2020-04-22,1.0854,1.07159321300364,1.09932501755912,0.0255498475727621,1.0829,TRUE,0.0940427771368756,0.905957222863124
2020-04-23,1.0829,1.06927190368572,1.09664238900022,0.0252751734366108,1.0815,TRUE,0.123340850052404,0.876659149947596
2020-04-24,1.0815,1.06810944547878,1.09499924656171,0.0248634314220298,1.0798,TRUE,0.16858336965801,0.83141663034199
2020-04-27,1.0798,1.06657703679753,1.09312794232859,0.0245887252556595,1.0829,TRUE,0.222976470674991,0.777023529325009
2020-04-28,1.0829,1.06978594551635,1.09604072493818,0.0242448789563472,1.0836,TRUE,0.267096850444838,0.732903149555162
2020-04-29,1.0836,1.07077123634966,1.09652355726433,0.0237655231770641,1.0853,TRUE,0.348719403427308,0.651280596572692
2020-04-30,1.0853,1.07274536775748,1.0979427040885,0.0232169320289496,1.0934,TRUE,0.430203740327303,0.569796259672697
