target_date,p_min,p_max,actual_price,Open,High,Low,Close,inside_range,prob_stress,close_breach_direction,low_below_pmin,high_above_pmax
2020-01-02,1.11649762735423,1.12887640775715,1.1166,1.1218,1.1225,1.1162,1.117,True,0.0125909677342163,inside,True,False
2020-01-03,1.11012719310998,1.1230504484342,1.1173,1.1171,1.118,1.1125,1.1153,True,0.0357029501966829,inside,False,False
2020-01-06,1.11097556469817,1.12352350614174,1.1187,1.1161,1.1206,1.1156,1.1194,True,0.0185322757305463,inside,False,False
2020-01-07,1.11252026009081,1.12485414794965,1.1138,1.1195,1.1197,1.1133,1.1153,True,0.0109743774372283,inside,False,False
2020-01-08,1.10749574108363,1.12008053758004,1.1117,1.1154,1.1167,1.1101,1.1113,True,0.0196201440025062,inside,False,False
2020-01-09,1.10548356983397,1.11789202403995,1.1106,1.1113,1.112,1.1093,1.1109,True,0.0133524063907993,inside,False,False
2020-01-10,1.10446560983488,1.11670930083188,1.1119,1.1109,1.1129,1.1085,1.1119,True,0.0078729112284926,inside,False,False
2020-01-13,1.10583440016557,1.11793977955048,1.1138,1.1116,1.1146,1.1113,1.1134,True,0.0052214215339725,inside,False,False
2020-01-14,1.10772427163963,1.11977331342588,1.113,1.1134,1.1144,1.1104,1.1128,True,0.0042103843361142,inside,False,False
2020-01-15,1.10700469047712,1.11896890258242,1.116,1.1127,1.1163,1.1118,1.1152,True,0.003156027876608,inside,False,False
2020-01-16,1.10998872582784,1.12198490040759,1.1131,1.1152,1.1171,1.1127,1.1137,True,0.0037412004928034,inside,False,False
2020-01-17,1.10710455453533,1.11906925142917,1.1093,1.1135,1.1143,1.1086,1.1089,True,0.0041161810617853,inside,False,False
2020-01-21,1.10332518879122,1.11524879558464,1.1096,1.1096,1.1118,1.1079,1.1085,True,0.0057522688599485,inside,False,False
2020-01-22,1.10362383240086,1.11547391259314,1.1085,1.1085,1.1097,1.107,1.1096,True,0.0037785166478056,inside,False,False
2020-01-23,1.10260549282369,1.11436797390705,1.1041,1.1095,1.1107,1.1035,1.1053,True,0.0030140350692289,inside,False,False
2020-01-24,1.09815383845094,1.11002061100512,1.1026,1.1055,1.106,1.1019,1.1026,True,0.005561695806902,inside,False,False
2020-01-27,1.09673723918202,1.10843656998697,1.1019,1.1025,1.1037,1.1009,1.1019,True,0.0041173317918794,inside,False,False
2020-01-28,1.09604121474521,1.10773274788325,1.1008,1.1019,1.1025,1.0998,1.1022,True,0.003072237051155,inside,False,False
2020-01-29,1.09502226732013,1.10655106123024,1.1004,1.1022,1.1028,1.0992,1.1013,True,0.0026577409314774,inside,False,False
2020-01-30,1.09462461907517,1.1061488566697,1.1032,1.1014,1.1039,1.1006,1.1029,True,0.0023469151873115,inside,False,False
2020-01-31,1.09741011821841,1.1089633961883,1.1082,1.1027,1.1095,1.1016,1.1095,True,0.0029879701179072,inside,False,True
2020-02-03,1.10230849760623,1.11406573708246,1.1062,1.1088,1.1089,1.1035,1.1062,True,0.0070318844269243,inside,False,False
