Date,r_t,delta_y_t,r_t_plus_1,diff_rate,r_dxy
2010-01-06,0.0138859959953651,-0.018259718825086424,-0.6267866470222999,-0.13,-0.0014051826960576265
2010-01-07,-0.6267866470222999,-0.018871561227459827,0.2999548829151047,-0.15,0.002974048407465959
2010-01-08,0.2999548829151047,0.0027129949064675835,1.2390702948313268,-0.14,-0.0023835226378463516
2010-01-11,1.2390702948313268,-0.013575885149700167,-0.0894731468203073,-0.14,-0.0059734096098744026
2010-01-12,-0.0894731468203073,0.0643542652037324,-0.2136826592836066,-0.14,0.0010998352447073735
2010-01-13,-0.2136826592836066,-0.018597327240993278,-0.0966517161881187,-0.14,0.00029112288044344357
2010-01-14,-0.0966517161881187,-0.01662425781168188,-0.7070106389691765,-0.14,-0.0015361656493394593
2010-01-15,-0.7070106389691765,-0.01843686749186924,-0.7470797532819753,-0.13,0.0019677873984405357
2010-01-19,-0.7470797532819753,0.00849529627435491,-1.234017704360749,-0.12,0.0021150851061247345
2010-01-20,-1.234017704360749,0.011100189578450544,0.0851063881156675,-0.12,0.007750351976311178
2010-01-21,0.0851063881156675,0.057843765519142984,0.3397030867605495,-0.13,-0.00014999517129986493
2010-01-22,0.3397030867605495,-0.01859405384533227,-0.0565371039794772,-0.14,0.0030203836745471106
2010-01-25,-0.0565371039794772,-0.012934999925411418,-0.588466372568753,-0.13,-0.00035619568325236047
2010-01-26,-0.588466372568753,-0.018808636399444682,-0.0711338769502824,-0.13,0.004509250299449214
2010-01-27,-0.0711338769502824,-0.0008492731620354926,-0.4278691545031663,-0.13,-0.0004962133025891168
2010-01-28,-0.4278691545031663,-0.018674920426408042,-0.8828970246836105,-0.13,-0.00021442317567837033
2010-01-29,-0.8828970246836105,-0.008937167348992884,0.244833419629608,-0.13,0.005350033854247806
2010-02-01,0.244833419629608,0.02341315231935124,0.3661298465249137,-0.10999999999999999,-0.00033814073056584785
2010-02-02,0.3661298465249137,-0.01547414867120853,-0.3445556491811585,-0.10999999999999999,-0.00340376837407557
2010-02-03,-0.3445556491811585,-0.01112418092614771,-1.0699155050794484,-0.12,0.0022797223737303094
2010-02-04,-1.0699155050794484,-0.012268688191651708,-1.1035300352118669,-0.10999999999999999,0.00546743093339586
2010-02-05,-1.1035300352118669,0.04401012597688577,0.6664982375691691,-0.12,0.00510379526418016
2010-02-12,-0.1100311866008267,-0.001835088555126509,0.8550496059576536,-0.13,-0.006618643455162864
2010-02-16,0.8550496059576536,-0.018445863410669908,-0.869729582496044,-0.12,-0.005500345636585387
2010-02-17,-0.869729582496044,0.01787541852963548,-0.4414043803346005,-0.13,0.0025117655330944475
2010-02-18,-0.4414043803346005,0.01684669268745459,-0.1844950894162065,-0.13,0.0016855706490312167
2010-02-19,-0.1844950894162065,-0.009964109650847524,0.3833682076636523,-0.12,0.000869925908855372
2010-02-22,0.3833682076636523,-0.017431335668034703,-0.3907550959403221,-0.13,-0.0023090404303638627
2010-02-23,-0.3907550959403221,-0.011327957452019182,0.2876850728276077,-0.13,0.0025484832639994528
2010-02-24,0.2876850728276077,-0.011299811102181867,-0.7393202387618705,-0.14,-2.0217400904716817e-05
2010-02-25,-0.7393202387618705,-0.014366643623797247,1.356152859833766,-0.13,0.004270615737355428
2010-02-26,1.356152859833766,0.009712159053355344,-1.0597685290600671,-0.12,-0.007652668517230225
2010-03-01,-1.0597685290600671,0.07187194837257167,0.3545055411348824,-0.10999999999999999,0.0014691285654439606
2010-03-02,0.3545055411348824,0.030113831916652057,1.2236826076222524,-0.10999999999999999,-0.003309381889779904
2010-03-03,1.2236826076222524,-0.013437869409537456,-1.172088724038109,-0.1,-0.005383066195029232
2010-03-04,-1.172088724038109,0.04467273432331875,0.2722691994326923,-0.09,0.004525904481965503
2010-03-05,0.2722691994326923,0.03390515458106149,0.0367363436775335,-0.07999999999999999,-0.0015599707883376887
2010-03-08,0.0367363436775335,-0.016219072970670417,-0.198536776122577,-0.1,-0.00018980531072184187
2010-03-09,-0.198536776122577,-0.019088501219340834,0.5285579769787236,-0.10999999999999999,-0.0005417330332708381
2010-03-10,0.5285579769787236,-0.01760304120573568,0.1170788952704802,-0.10999999999999999,-0.0016269621768261495
2010-03-11,0.1170788952704802,-0.0070546638975906495,0.5760762640968472,-0.1,0.00011499447340629538
2010-03-12,0.5760762640968472,-0.018443383569245936,-0.7370951088110135,-0.07999999999999999,-0.004218299994533727
2010-03-15,-0.7370951088110135,-0.004074497809615695,0.7734442059361814,-0.04999999999999999,0.0032603255371410995
2010-03-16,0.7734442059361814,0.004609851862864445,-0.138196916201122,-0.04999999999999999,-0.003979328291905731
2010-03-17,-0.138196916201122,0.007482496467063612,-0.9948147290518056,-0.07,-0.0016255983380877614
2010-03-18,-0.9948147290518056,-0.01830597548709775,-0.5380914468596381,-0.07,0.003245323727420619
2010-03-19,-0.5380914468596381,0.023936660513911,0.0073907098810411,-0.07,0.0031821619245486514
2010-03-22,0.0073907098810411,-0.006844144329230221,0.0295573784757312,-0.07,0.000994768417030857
2010-03-23,0.0295573784757312,-0.019071593148847488,-1.398728257425006,-0.07999999999999999,-0.001367793043668823
2010-03-24,-1.398728257425006,-0.01899172542972246,-0.0224794875623499,-0.07999999999999999,0.006866251323985237
2010-03-25,-0.0224794875623499,0.0661507239789888,0.4038596469684912,-0.07999999999999999,-0.0006227458378214312
2010-03-26,0.4038596469684912,-0.019109788267726583,0.4988284177486445,-0.07999999999999999,0.0010551284166574382
2010-03-29,0.4988284177486445,-0.011835607613311754,-0.4167602966057291,-0.09,-0.004186478482122041
2010-03-30,-0.4167602966057291,-0.007843809284052313,0.8687635855243174,-0.09,-0.00035592034192462465
2010-03-31,0.8687635855243174,-0.011467465921974439,0.3174020011067649,-0.16,-0.003910590099546837
2010-04-01,0.3174020011067649,0.015212353569485856,-0.606152062909519,-0.07999999999999999,-0.0025069422845235886
2010-04-02,-0.606152062909519,-0.014393091215960078,-0.0074148222330379,-0.04999999999999999,0.002582290338749424
2010-04-05,-0.0074148222330379,-0.002634993942968043,-0.8040543616173824,-0.04999999999999999,-0.0026006359429543093
2010-04-06,-0.8040543616173824,-0.019041213746603017,-0.1047042201706256,-0.04999999999999999,0.0007864005967251885
2010-04-07,-0.1047042201706256,0.010877442531673174,-0.0299356386010432,-0.06,8.51832383623831e-05
2010-04-08,-0.0299356386010432,-0.018565418968554286,0.8051333190328431,-0.06,-0.00025988549009312695
2010-04-09,0.8051333190328431,-0.01896821465651116,0.8796951943358444,-0.06,-0.002633934987599713
2010-04-12,0.8796951943358444,0.013479598899289742,0.0367931127444303,-0.06,-0.002535728366367688
2010-04-13,0.0367931127444303,0.01847845638671055,0.5429611988955678,-0.04999999999999999,0.00028074070203723377
2010-04-14,0.5429611988955678,-0.018932090566190243,-0.9262728874457592,-0.04999999999999999,-0.0036829854669881068
2010-04-15,-0.9262728874457592,-0.00425096094200682,-0.3922008949408454,-0.03,0.002967428912369915
2010-04-16,-0.3922008949408454,0.021755248574322174,-0.2152533768594249,-0.04000000000000001,0.0034905372037335497
2010-04-19,-0.2152533768594249,-0.011905954596249602,-0.0892060719281366,-0.04999999999999999,0.0035860931824784254
2010-04-20,-0.0892060719281366,-0.016845900977621425,-0.4696419232607489,-0.04999999999999999,-0.004575501191755293
2010-04-21,-0.4696419232607489,-0.018613580832075517,-0.6371596833974125,-0.04999999999999999,0.00015577503520214315
2010-04-22,-0.6371596833974125,-0.0077175320547030685,0.4651520128236361,-0.04999999999999999,0.0030187536526510572
2010-04-23,0.4651520128236361,0.001978707184910737,-0.1798022660006948,-0.04999999999999999,-0.000706618890515591
2010-04-26,-0.1798022660006948,-0.007234624442582456,-0.798016732162851,-0.04999999999999999,-0.001549836173426319
2010-04-27,-0.798016732162851,-0.01727367561750439,-0.7587289812159481,-0.04999999999999999,0.006216135907992318
2010-04-28,-0.7587289812159481,0.015089108316339587,0.8569422630122583,-0.04999999999999999,0.004180491582071523
2010-04-29,0.8569422630122583,0.010987379810544885,0.4445288917402044,-0.06,-0.006269774475262686
2010-04-30,0.4445288917402044,0.019150745966464183,-0.8986279086396503,-0.04999999999999999,-0.0006352843595613083
2010-05-03,-0.8986279086396503,-0.00869199893088832,-1.11366520951911,-0.04999999999999999,0.004220832772291491
